Monitoreo,Nombre_punto,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
10,PUNTO - 14,448.971,355.75,100.311,14 de Noviembre,3.172,0
10,PUNTO - 15,458.348,358.966,100.309,14 de Noviembre,3.172,0
10,PUNTO - 16,466.86,364.114,100.3,14 de Noviembre,3.172,0
10,PUNTO - 17,474.071,370.964,100.295,14 de Noviembre,3.172,0
10,PUNTO - 18,479.66,379.188,100.291,14 de Noviembre,3.172,0
10,PUNTO - 19,483.342,388.427,100.295,14 de Noviembre,3.172,0
10,PUNTO - 20,484.993,398.2,100.306,14 de Noviembre,3.172,0
10,PUNTO - 21,484.497,408.265,100.317,14 de Noviembre,3.172,0
10,PUNTO - 22,482.09,417.91,100.306,14 de Noviembre,3.172,0
10,PUNTO - 23,477.403,426.59,100.292,14 de Noviembre,3.172,0
10,PUNTO - 24,471.082,434.239,100.293,14 de Noviembre,3.172,0
10,PUNTO - 25,463.242,440.383,100.295,14 de Noviembre,3.172,0
10,PUNTO - 26,454.269,444.71,100.29,14 de Noviembre,3.172,0
10,PUNTO - 27,444.894,446.969,100.287,14 de Noviembre,3.172,0
10,PUNTO - 28,434.969,447.211,100.288,14 de Noviembre,3.172,0
10,PUNTO - 29,425.221,445.373,100.297,14 de Noviembre,3.172,0
10,PUNTO - 30,416.076,441.501,100.31,14 de Noviembre,3.172,0
12,PUNTO - 1 = 127º,410.569,437.932,100.32,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 2,403.359,431.078,100.33,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 3,397.759,422.845,100.338,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 4,394.055,413.627,100.341,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 5,392.379,403.846,100.34,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 6,392.835,393.921,100.318,05 SEPTIEMBRE 2015,3.614,0
